#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,Date
103,Uganda,13099,128.0,115.0,1.0,7612.0,56.0,5372.0,,283,2.0,556314.0,12037.0,46216851,Africa,3528,401886.0,83.0,11/03/2020
104,Namibia,13012,,133.0,,11201.0,,1678.0,5.0,5090,52.0,128802.0,50385.0,2556343,Africa,196,19221.0,20.0,11/03/2020
105,Guinea,12213,,73.0,,10600.0,,1540.0,24.0,922,6.0,43932.0,3315.0,13250865,Africa,1085,181519.0,302.0,11/03/2020
106,Maldives,11796,59.0,38.0,,10962.0,46.0,796.0,12.0,21694,70.0,150743.0,277234.0,543740,Asia,46,14309.0,4.0,11/03/2020
107,Sri Lanka,11744,409.0,23.0,2.0,5581.0,332.0,6140.0,,548,1.0,524448.0,24457.0,21443899,Asia,1826,932343.0,41.0,11/03/2020
108,Angola,11577,349.0,291.0,2.0,5230.0,58.0,6056.0,45.0,349,9.0,85213.0,2566.0,33203269,Africa,2868,114101.0,390.0,11/03/2020
109,DRC,11395,,308.0,,10768.0,,319.0,,126,3.0,,,90459807,Africa,7939,293701.0,,11/03/2020
110,Tajikistan,11139,43.0,83.0,1.0,10389.0,52.0,667.0,,1159,9.0,,,9609100,Asia,863,115772.0,,11/03/2020
111,French Guiana,10567,,70.0,,9995.0,,502.0,2.0,35077,232.0,75074.0,249207.0,301252,South America,29,4304.0,4.0,11/03/2020
112,Jamaica,9296,39.0,214.0,4.0,4666.0,29.0,4416.0,6.0,3135,72.0,97816.0,32984.0,2965578,North America,319,13858.0,30.0,11/03/2020
113,Haiti,9057,,232.0,,7429.0,,1396.0,,791,20.0,32176.0,2810.0,11449519,North America,1264,49351.0,356.0,11/03/2020
114,Gabon,8984,,55.0,,8779.0,,150.0,3.0,4005,25.0,245611.0,109490.0,2243225,Africa,250,40786.0,9.0,11/03/2020
115,Cabo Verde,8944,62.0,95.0,,8155.0,45.0,694.0,23.0,16028,170.0,94729.0,169755.0,558032,Africa,62,5874.0,6.0,11/03/2020
116,French Polynesia,8646,,38.0,,4842.0,,3766.0,24.0,30718,135.0,26355.0,93636.0,281461,Australia/Oceania,33,7407.0,11.0,11/03/2020
117,Zimbabwe,8389,,245.0,,7939.0,,205.0,,562,16.0,165521.0,11082.0,14935846,Africa,1780,60963.0,90.0,11/03/2020
118,Guadeloupe,7903,298.0,133.0,7.0,2242.0,,5528.0,19.0,19750,332.0,70195.0,175423.0,400147,North America,51,3009.0,6.0,11/03/2020
119,Mauritania,7704,,163.0,,7437.0,,104.0,3.0,1643,35.0,87633.0,18684.0,4690214,Africa,609,28774.0,54.0,11/03/2020
120,Cuba,7035,65.0,129.0,,6374.0,56.0,532.0,5.0,621,11.0,866228.0,76493.0,11324243,North America,1610,87785.0,13.0,11/03/2020
